CLASS,DATE,TIME,FRAME,MINOR DIAMETER,MAJOR DIAMETER,ASPECT RATIO,BOUNDING RECT WIDTH,BOUNDING RECT HEIGHT,BOUNDING RECT DIAGONAL,PERIMETER,CONVEX HULL PERIMETER,HOLES' PERIMETER,MAX FERET DIAMETER,EQUIVALENT ELLIPSE MAJOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS (FERET),EQUIVALENT RECT LONG SIDE,EQUIVALENT RECT SHORT SIDE,EQUIVALENT RECT DIAGONAL,EQUIVALENT RECT SHORT SIDE (FERET),AVERAGE HORIZ. SEGMENT LENGTH,AVERAGE VERT. SEGMENT LENGTH,HYDRAULIC RADIUS,WADDEL DISK DIAMETER,AREA,HOLES' AREA,PARTICLE & HOLES' AREA,CONVEX HULL AREA,IMAGE AREA,NUMBER OF HOLES,NUMBER OF HORIZ. SEGMENTS,NUMBER OF VERT. SEGMENTS,ORIENTATION,MAX FERET DIAMETER ORIENTATION,% AREA/IMAGE AREA,% AREA/(PARTICLE & HOLES' AREA),RATIO OF EQUIVALENT ELLIPSE AXES,RATIO OF EQUIVALENT RECT SIDES,ELONGATION FACTOR,COMPACTNESS FACTOR,HEYWOOD CIRCULARITY FACTOR,TYPE FACTOR,CIRCULARITY,SPHERICITY,CONVEXITY,,
,10/29/21,11:53:37,1242,371.42,508.04,1.37,440.00,430.00,615.22,1398.02,1348.57,0.00,453.10,508.04,371.42,434.86,349.50,349.50,494.27,341.54,3293.33,3221.74,106.01,434.39,148200.00,0.00,148200.00,154750.00,230400000.00,0.00,45.00,46.00,26.40,22.04,0.06,100.00,1.37,1.00,1.33,0.78,1.02,1.00,0.98,0.95,0.96,0.00,0.00
,10/29/21,11:53:38,1254,438.59,508.04,1.16,480.83,473.76,675.02,1490.94,1466.26,0.00,490.41,508.04,438.59,468.76,372.74,372.74,527.13,368.16,3723.40,3645.83,117.38,472.03,175000.00,0.00,175000.00,180550.00,230400000.00,0.00,47.00,48.00,162.92,159.72,0.08,100.00,1.16,1.00,1.33,0.78,1.01,1.00,0.99,0.99,0.97,0.00,0.00
,10/29/21,11:53:40,1317,449.39,513.39,1.14,487.90,480.83,685.02,1515.67,1493.18,0.00,494.06,513.39,449.39,482.56,378.92,378.92,535.87,379.00,3775.00,3697.96,119.55,480.32,181200.00,0.00,181200.00,187250.00,230400000.00,0.00,48.00,49.00,142.84,125.94,0.08,100.00,1.14,1.00,1.30,0.77,1.00,1.00,1.00,0.99,0.97,0.00,0.00
,10/29/21,11:53:40,1320,418.76,675.91,1.61,550.61,499.92,743.71,1766.30,1732.72,0.00,620.08,675.91,418.76,474.12,441.58,441.58,624.48,372.37,3969.64,4446.00,125.86,532.02,222300.00,0.00,222300.00,230900.00,230400000.00,0.00,56.00,50.00,119.95,127.79,0.10,100.00,1.61,1.00,1.67,0.81,1.06,0.96,0.95,0.90,0.96,0.00,0.00
,10/29/21,11:53:41,1321,42.82,53.53,1.25,50.00,40.00,64.03,152.27,116.62,0.00,58.31,53.53,42.82,41.49,38.07,38.07,53.83,32.58,360.00,450.00,11.82,47.87,1800.00,0.00,1800.00,1900.00,230400000.00,0.00,5.00,4.00,90.00,59.04,0.00,100.00,1.25,1.00,1.79,0.90,1.01,0.96,0.99,0.98,0.95,0.00,0.00
,10/29/21,11:53:41,1322,35.46,53.86,1.52,40.00,40.00,56.57,143.25,82.46,0.00,56.57,53.86,35.46,34.89,35.81,35.81,50.64,27.40,375.00,375.00,10.47,43.70,1500.00,0.00,1500.00,1550.00,230400000.00,0.00,4.00,4.00,135.00,135.00,0.00,100.00,1.52,1.00,2.06,0.94,1.04,0.95,0.96,0.92,0.97,0.00,0.00
,10/29/21,11:53:41,1342,341.50,501.46,1.47,476.68,372.81,605.16,1347.76,1305.88,0.00,482.60,501.46,341.50,368.18,336.94,336.94,476.50,289.16,3127.91,3202.38,99.80,413.82,134500.00,0.00,134500.00,139550.00,230400000.00,0.00,43.00,42.00,50.94,55.98,0.06,100.00,1.47,1.00,1.67,0.74,1.04,0.96,0.96,0.93,0.96,0.00,0.00
,10/29/21,11:53:45,1421,431.34,519.52,1.20,489.93,478.12,684.57,1500.02,1467.64,0.00,490.92,519.52,431.34,472.29,375.00,375.00,530.34,370.94,3666.67,3591.84,117.33,473.38,176000.00,0.00,176000.00,182100.00,230400000.00,0.00,48.00,49.00,166.49,146.63,0.08,100.00,1.20,1.00,1.32,0.76,1.01,1.00,0.99,0.98,0.97,0.00,0.00
,10/29/21,11:53:45,1432,382.47,1258.37,3.29,1150.00,460.00,1238.59,2921.67,2748.93,0.00,1157.32,1258.37,382.47,501.45,1124.76,336.07,1173.90,393.84,3286.96,5323.94,129.38,693.75,378000.00,0.00,378000.00,455800.00,230400000.00,0.00,115.00,71.00,89.51,83.55,0.16,100.00,3.29,3.35,2.94,0.71,1.34,0.87,0.75,0.56,0.83,0.00,0.00
,10/29/21,11:53:46,1443,462.46,549.26,1.19,516.19,502.05,720.07,1595.05,1565.55,0.00,523.93,549.26,462.46,502.93,398.76,398.76,563.93,395.00,3764.15,3764.15,125.07,504.00,199500.00,0.00,199500.00,206950.00,230400000.00,0.00,53.00,53.00,70.24,76.76,0.09,100.00,1.19,1.00,1.33,0.75,1.01,1.00,0.99,0.99,0.96,0.00,0.00
