Particle#, Time, Area, Convex Area, Perimeter, Convex Perim, xLF, xFmin, xFmax
0, 0.000000E+0, 3.329427E+5, 3.417975E+5, 2.055729E+3, 2.037096E+3, 6.737574E+2, 6.438961E+2, 6.767117E+2
1, 0.000000E+0, 3.174700E+5, 3.243208E+5, 2.003469E+3, 1.990272E+3, 6.468503E+2, 6.178869E+2, 6.628671E+2
2, 1.000000E+0, 3.781491E+5, 3.870971E+5, 2.187851E+3, 2.175869E+3, 6.980094E+2, 6.958275E+2, 7.137173E+2
3, 2.000000E+0, 4.669772E+5, 4.780691E+5, 2.439205E+3, 2.426809E+3, 7.995746E+2, 7.688830E+2, 8.065934E+2
4, 2.000000E+0, 3.193342E+5, 3.265112E+5, 2.012767E+3, 1.989422E+3, 6.485399E+2, 6.348884E+2, 6.567848E+2
5, 3.000000E+0, 3.325698E+5, 3.404460E+5, 2.055912E+3, 2.036681E+3, 6.673371E+2, 6.463000E+2, 6.758813E+2
6, 4.000000E+0, 3.317309E+5, 3.407256E+5, 2.052968E+3, 2.045341E+3, 6.737574E+2, 6.524982E+2, 6.742304E+2
7, 4.000000E+0, 4.022902E+5, 4.121238E+5, 2.258010E+3, 2.247882E+3, 7.236324E+2, 7.168068E+2, 7.352661E+2
8, 5.000000E+0, 3.866311E+5, 3.957190E+5, 2.229268E+3, 2.218378E+3, 7.645964E+2, 6.485399E+2, 7.705436E+2
9, 5.000000E+0, 3.394673E+5, 3.475765E+5, 2.076969E+3, 2.058847E+3, 6.758524E+2, 6.485399E+2, 6.800038E+2
10, 5.000000E+0, 3.894273E+5, 3.976763E+5, 2.216631E+3, 2.198162E+3, 7.372935E+2, 6.826781E+2, 7.418890E+2
11, 5.000000E+0, 4.345405E+5, 4.469373E+5, 2.353068E+3, 2.324867E+3, 7.530496E+2, 7.433951E+2, 7.646544E+2
12, 5.000000E+0, 5.310119E+5, 5.407522E+5, 2.601564E+3, 2.583887E+3, 8.302855E+2, 8.013221E+2, 8.542479E+2
13, 5.000000E+0, 3.263248E+5, 3.336418E+5, 2.035213E+3, 2.014099E+3, 6.565048E+2, 6.371959E+2, 6.702721E+2
14, 5.000000E+0, 4.029427E+5, 4.127762E+5, 2.254215E+3, 2.249582E+3, 7.240862E+2, 7.144317E+2, 7.327270E+2
15, 5.000000E+0, 4.808654E+5, 4.913514E+5, 2.471721E+3, 2.446716E+3, 8.101945E+2, 7.727255E+2, 8.105131E+2
16, 5.000000E+0, 4.012649E+5, 4.106790E+5, 2.256822E+3, 2.237349E+3, 7.261136E+2, 7.127615E+2, 7.453357E+2
