CLASS,DATE,TIME,FRAME,MINOR DIAMETER,MAJOR DIAMETER,ASPECT RATIO,BOUNDING RECT WIDTH,BOUNDING RECT HEIGHT,BOUNDING RECT DIAGONAL,PERIMETER,CONVEX HULL PERIMETER,HOLES' PERIMETER,MAX FERET DIAMETER,EQUIVALENT ELLIPSE MAJOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS (FERET),EQUIVALENT RECT LONG SIDE,EQUIVALENT RECT SHORT SIDE,EQUIVALENT RECT DIAGONAL,EQUIVALENT RECT SHORT SIDE (FERET),AVERAGE HORIZ. SEGMENT LENGTH,AVERAGE VERT. SEGMENT LENGTH,HYDRAULIC RADIUS,WADDEL DISK DIAMETER,AREA,HOLES' AREA,PARTICLE & HOLES' AREA,CONVEX HULL AREA,IMAGE AREA,NUMBER OF HOLES,NUMBER OF HORIZ. SEGMENTS,NUMBER OF VERT. SEGMENTS,ORIENTATION,MAX FERET DIAMETER ORIENTATION,% AREA/IMAGE AREA,% AREA/(PARTICLE & HOLES' AREA),RATIO OF EQUIVALENT ELLIPSE AXES,RATIO OF EQUIVALENT RECT SIDES,ELONGATION FACTOR,COMPACTNESS FACTOR,HEYWOOD CIRCULARITY FACTOR,TYPE FACTOR,CIRCULARITY,SPHERICITY,CONVEXITY,,
,11/4/2021,9:29:06,1688,67087.65,82329.8,1.23,79195.96,67175.14,103848.45,235922.41,234520.91,0,80653.58,82329.8,67087.65,70084.27,58980.6,58980.6,83411.17,55044.05,54225000,57840000,18387.4,74319,4338000000,0,4338000000,4439500000,2.304E+12,0,80,75,126.91,107.31,0.19,100,1.23,1,1.47,0.73,1.01,0.99,0.99,0.98,0.98,0,0
,11/4/2021,9:29:07,1698,63922.51,87183.21,1.36,79997.18,69912.21,106241.54,240152.09,236051.11,0,86162.64,87183.21,63922.51,66157.37,60038.02,60038.02,84906.59,51959.88,60791666.67,54712500,18225.95,74652.32,4377000000,0,4377000000,4477000000,2.304E+12,0,72,80,29.31,21.8,0.19,100,1.36,1,1.66,0.76,1.02,0.98,0.98,0.95,0.98,0,0
,11/4/2021,9:29:10,1789,68777.72,84860.77,1.23,81531.48,70062.13,107499.23,242653.46,239939.28,0,82200.97,84860.77,68777.72,72629.56,60663.37,60663.37,85790.95,57043.12,57300000,61120000,18891.14,76397.19,4584000000,0,4584000000,4689000000,2.304E+12,0,80,75,62.84,36.59,0.2,100,1.23,1,1.44,0.76,1.01,0.99,0.99,0.98,0.98,0,0
,11/4/2021,9:29:10,1798,68757.07,86849.15,1.26,81988.68,71070.9,108504.46,246072.26,243894.03,0,85866.17,86849.15,68757.07,71197.53,61518.06,61518.06,86999.68,55918.41,63378378.38,55176470.59,19059.44,77275.44,4690000000,0,4690000000,4801500000,2.304E+12,0,74,85,1.51,14.85,0.2,100,1.26,1,1.54,0.75,1.01,1,0.99,0.97,0.98,0,0
,11/4/2021,9:29:11,1808,68729.13,83271.99,1.21,78091.85,71307.61,105750.24,239853.12,237543.21,0,81835.2,83271.99,68729.13,71421.66,59963.28,59963.28,84800.89,56094.44,58376623.38,60743243.24,18740.64,75651.91,4495000000,0,4495000000,4590500000,2.304E+12,0,77,74,62.9,38.55,0.2,100,1.21,1,1.46,0.81,1.01,0.99,0.99,0.98,0.98,0,0
,11/4/2021,9:29:11,1825,68026.7,89204.08,1.31,80285.4,71602.73,107576.47,249207.72,247663.75,0,86683.33,89204.08,68026.7,71796.9,62301.93,62301.93,88108.24,56389.16,61102564.1,56738095.24,19124.61,77899.04,4766000000,0,4766000000,4888000000,2.304E+12,0,78,84,144.37,163.24,0.21,100,1.31,1,1.54,0.73,1.02,0.99,0.98,0.96,0.98,0,0
,11/4/2021,9:29:11,1828,65059.55,89240.89,1.37,76240.47,71594.8,104586.92,245332.86,243018.49,0,86330.76,89240.89,65059.55,68838.1,61333.21,61333.21,86738.26,54065.32,57000000,59220779.22,18586.99,76196.93,4560000000,0,4560000000,4667500000,2.304E+12,0,80,77,118.02,115.38,0.2,100,1.37,1,1.6,0.75,1.02,0.99,0.98,0.95,0.98,0,0
,11/4/2021,9:29:12,1832,69320.8,87887.78,1.27,81899.46,72564.31,109421.66,248658.95,245303.3,0,84534.02,87887.78,69320.8,73644.97,62164.74,62164.74,87914.21,57840.62,60569620.25,59074074.07,19243.22,78054.16,4785000000,0,4785000000,4889500000,2.304E+12,0,79,81,139.65,152.53,0.21,100,1.27,1,1.46,0.75,1.01,0.99,0.99,0.97,0.98,0,0
,11/4/2021,9:29:12,1834,69574.1,84786.13,1.22,81393.33,72471.54,108981.64,243643.05,242416.98,0,81492.33,84786.13,69574.1,73948.59,60910.76,60910.76,86140.83,58079.08,61773333.33,57912500,19015.52,76804.42,4633000000,0,4633000000,4733000000,2.304E+12,0,75,80,155.63,150.6,0.2,100,1.22,1,1.4,0.78,1.01,1,0.99,0.98,0.98,0,0
,11/4/2021,9:29:13,1857,64560.74,83461.72,1.29,78524.82,67500.68,103549.46,234400.99,232308.25,0,83570.33,83461.72,64560.74,66046.09,58600.25,58600.25,82873.26,51872.48,57972602.74,53569620.25,18054.53,73405.38,4232000000,0,4232000000,4335000000,2.304E+12,0,73,79,32.28,21.04,0.18,100,1.29,1,1.61,0.73,1.02,0.98,0.98,0.97,0.98,0,0
