CLASS,DATE,TIME,FRAME,MINOR DIAMETER,MAJOR DIAMETER,ASPECT RATIO,BOUNDING RECT WIDTH,BOUNDING RECT HEIGHT,BOUNDING RECT DIAGONAL,PERIMETER,CONVEX HULL PERIMETER,HOLES' PERIMETER,MAX FERET DIAMETER,EQUIVALENT ELLIPSE MAJOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS (FERET),EQUIVALENT RECT LONG SIDE,EQUIVALENT RECT SHORT SIDE,EQUIVALENT RECT DIAGONAL,EQUIVALENT RECT SHORT SIDE (FERET),AVERAGE HORIZ. SEGMENT LENGTH,AVERAGE VERT. SEGMENT LENGTH,HYDRAULIC RADIUS,WADDEL DISK DIAMETER,AREA,HOLES' AREA,PARTICLE & HOLES' AREA,CONVEX HULL AREA,IMAGE AREA,NUMBER OF HOLES,NUMBER OF HORIZ. SEGMENTS,NUMBER OF VERT. SEGMENTS,ORIENTATION,MAX FERET DIAMETER ORIENTATION,% AREA/IMAGE AREA,% AREA/(PARTICLE & HOLES' AREA),RATIO OF EQUIVALENT ELLIPSE AXES,RATIO OF EQUIVALENT RECT SIDES,ELONGATION FACTOR,COMPACTNESS FACTOR,HEYWOOD CIRCULARITY FACTOR,TYPE FACTOR,CIRCULARITY,SPHERICITY,CONVEXITY,,
All Particles,10/13/20,10:02:12,1129,724.14,875.98,1.21,840.00,760.00,1132.78,2524.75,2510.42,0.00,843.45,875.98,724.14,767.77,631.19,631.19,892.63,603.00,5930.95,6555.26,197.33,796.45,498200.00,0.00,498200.00,508600.00,230400000.00,0.00,84.00,76.00,102.84,100.24,0.22,100.00,1.21,1.00,1.40,0.78,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:15,1196,744.09,893.39,1.20,848.38,795.55,1163.04,2582.81,2573.01,0.00,866.08,893.39,744.09,785.19,645.70,645.70,913.16,616.68,6290.36,6290.36,202.14,815.33,522100.00,0.00,522100.00,534100.00,230400000.00,0.00,83.00,83.00,138.78,121.30,0.23,100.00,1.20,1.00,1.40,0.77,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:15,1206,773.95,947.42,1.22,903.99,832.20,1228.72,2717.62,2696.14,0.00,907.36,947.42,773.95,827.07,679.41,679.41,960.82,649.58,6544.32,6470.79,211.91,856.31,575900.00,0.00,575900.00,589400.00,230400000.00,0.00,88.00,89.00,47.29,58.06,0.25,100.00,1.22,1.00,1.40,0.77,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:16,1231,750.07,885.24,1.18,845.47,811.22,1171.71,2577.50,2553.35,0.00,849.00,885.24,750.07,797.84,644.38,644.38,911.28,626.62,6283.13,6438.27,202.33,814.86,521500.00,0.00,521500.00,532000.00,230400000.00,0.00,83.00,81.00,78.72,74.98,0.23,100.00,1.18,1.00,1.35,0.78,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:17,1247,737.85,946.84,1.28,858.76,814.21,1183.39,2666.59,2630.06,0.00,899.89,946.84,737.85,793.61,666.65,666.65,942.78,623.30,6165.17,6532.14,205.77,835.84,548700.00,0.00,548700.00,560900.00,230400000.00,0.00,89.00,84.00,56.57,75.19,0.24,100.00,1.28,1.00,1.44,0.74,1.02,1.00,0.98,0.97,0.98,0.00,0.00
All Particles,10/13/20,10:02:17,1255,728.53,891.49,1.22,820.00,800.00,1145.60,2557.57,2516.24,0.00,838.15,891.49,728.53,790.01,639.39,639.39,904.24,620.47,6376.25,6145.78,199.45,805.90,510100.00,0.00,510100.00,520050.00,230400000.00,0.00,80.00,83.00,2.39,19.52,0.22,100.00,1.22,1.00,1.35,0.78,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:17,1257,759.34,908.80,1.20,883.72,802.88,1193.97,2630.82,2616.02,0.00,886.17,908.80,759.34,796.12,657.70,657.70,930.13,625.27,6609.76,6302.33,206.02,830.72,542000.00,0.00,542000.00,554100.00,230400000.00,0.00,82.00,86.00,157.65,139.12,0.24,100.00,1.20,1.00,1.42,0.78,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:18,1265,698.21,857.08,1.23,786.50,753.22,1089.00,2455.76,2439.33,0.00,814.00,857.08,698.21,751.27,613.94,613.94,868.24,590.05,6184.21,5949.37,191.39,773.58,470000.00,0.00,470000.00,480300.00,230400000.00,0.00,76.00,79.00,29.98,37.01,0.20,100.00,1.23,1.00,1.38,0.79,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:18,1267,728.97,860.22,1.18,850.00,760.00,1140.22,2504.79,2492.91,0.00,852.12,860.22,728.97,753.01,626.20,626.20,885.58,591.41,6480.26,5794.12,196.62,791.88,492500.00,0.00,492500.00,503950.00,230400000.00,0.00,76.00,85.00,166.75,175.96,0.21,100.00,1.18,1.00,1.44,0.76,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:19,1296,733.75,835.53,1.14,770.00,770.00,1088.94,2470.19,2440.76,0.00,823.29,835.53,733.75,758.27,617.55,617.55,873.34,595.54,6253.25,6253.25,194.92,782.98,481500.00,0.00,481500.00,490300.00,230400000.00,0.00,77.00,77.00,123.89,130.07,0.21,100.00,1.14,1.00,1.38,0.81,1.00,1.00,1.00,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:20,1316,698.68,806.40,1.15,791.96,728.32,1075.94,2370.21,2362.73,0.00,796.49,806.40,698.68,722.87,592.55,592.55,837.99,567.74,5900.00,5746.75,186.69,750.61,442500.00,0.00,442500.00,452200.00,230400000.00,0.00,75.00,77.00,132.18,128.88,0.19,100.00,1.15,1.00,1.40,0.77,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:20,1319,730.47,859.67,1.18,800.29,780.93,1118.18,2506.01,2504.38,0.00,836.72,859.67,730.47,767.70,626.50,626.50,886.01,602.95,6014.63,6323.08,196.81,792.44,493200.00,0.00,493200.00,504500.00,230400000.00,0.00,82.00,78.00,114.88,114.73,0.21,100.00,1.18,1.00,1.39,0.78,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:20,1320,786.32,889.45,1.13,869.74,799.03,1181.06,2637.27,2634.53,0.00,883.23,889.45,786.32,808.00,659.32,659.32,932.42,634.60,6462.35,6462.35,208.28,836.30,549300.00,0.00,549300.00,560500.00,230400000.00,0.00,85.00,85.00,134.34,149.37,0.24,100.00,1.13,1.00,1.39,0.76,1.00,0.99,1.00,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:20,1323,773.56,916.29,1.18,872.33,809.81,1190.27,2663.87,2654.46,0.00,898.11,916.29,773.56,806.10,665.97,665.97,941.82,633.11,6627.38,6473.26,208.98,841.91,556700.00,0.00,556700.00,568600.00,230400000.00,0.00,84.00,86.00,31.05,37.76,0.24,100.00,1.18,1.00,1.42,0.79,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:20,1327,709.67,828.35,1.17,804.48,756.24,1104.13,2423.10,2414.35,0.00,814.92,828.35,709.67,737.69,605.77,605.77,856.69,579.38,6075.00,5996.10,190.54,766.72,461700.00,0.00,461700.00,472150.00,230400000.00,0.00,76.00,77.00,42.55,60.60,0.20,100.00,1.17,1.00,1.41,0.79,1.01,1.00,0.99,0.99,0.98,0.00,0.00
