CLASS,DATE,TIME,FRAME,MINOR DIAMETER,MAJOR DIAMETER,ASPECT RATIO,BOUNDING RECT WIDTH,BOUNDING RECT HEIGHT,BOUNDING RECT DIAGONAL,PERIMETER,CONVEX HULL PERIMETER,HOLES' PERIMETER,MAX FERET DIAMETER,EQUIVALENT ELLIPSE MAJOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS (FERET),EQUIVALENT RECT LONG SIDE,EQUIVALENT RECT SHORT SIDE,EQUIVALENT RECT DIAGONAL,EQUIVALENT RECT SHORT SIDE (FERET),AVERAGE HORIZ. SEGMENT LENGTH,AVERAGE VERT. SEGMENT LENGTH,HYDRAULIC RADIUS,WADDEL DISK DIAMETER,AREA,HOLES' AREA,PARTICLE & HOLES' AREA,CONVEX HULL AREA,IMAGE AREA,NUMBER OF HOLES,NUMBER OF HORIZ. SEGMENTS,NUMBER OF VERT. SEGMENTS,ORIENTATION,MAX FERET DIAMETER ORIENTATION,% AREA/IMAGE AREA,% AREA/(PARTICLE & HOLES' AREA),RATIO OF EQUIVALENT ELLIPSE AXES,RATIO OF EQUIVALENT RECT SIDES,ELONGATION FACTOR,COMPACTNESS FACTOR,HEYWOOD CIRCULARITY FACTOR,TYPE FACTOR,CIRCULARITY,SPHERICITY,CONVEXITY,,
,01/12/22,11:39:16,74,672.57,861.55,1.28,787.22,686.65,1044.60,2428.00,2408.76,0.00,842.02,861.55,672.57,702.38,607.00,607.00,858.43,551.65,5910.39,6068.00,187.44,761.22,455100.00,0.00,455100.00,464500.00,230400000.00,0.00,77.00,75.00,61.00,37.28,0.20,100.00,1.28,1.00,1.53,0.79,1.02,0.99,0.98,0.97,0.98,0.00,0.00
,01/12/22,11:39:39,597,673.29,838.88,1.25,794.10,715.20,1068.69,2389.51,2369.51,0.00,800.56,838.88,673.29,722.61,597.38,597.38,844.82,567.54,5687.18,6076.71,185.64,751.54,443600.00,0.00,443600.00,454350.00,230400000.00,0.00,78.00,73.00,111.32,131.46,0.19,100.00,1.25,1.00,1.41,0.79,1.01,1.00,0.99,0.98,0.98,0.00,0.00
,01/12/22,11:39:41,627,647.27,814.57,1.26,735.39,671.75,996.02,2311.25,2280.90,0.00,777.82,814.57,647.27,693.73,577.81,577.81,817.15,544.86,5448.68,5377.92,179.17,726.12,414100.00,0.00,414100.00,423800.00,230400000.00,0.00,76.00,77.00,38.64,8.13,0.18,100.00,1.26,1.00,1.43,0.71,1.01,0.99,0.99,0.97,0.98,0.00,0.00
,01/12/22,11:39:42,653,660.34,837.20,1.27,833.01,657.64,1061.32,2368.69,2358.53,0.00,844.04,837.20,660.34,671.14,592.17,592.17,837.46,527.11,5231.33,6115.49,183.31,743.53,434200.00,0.00,434200.00,444900.00,230400000.00,0.00,83.00,71.00,110.69,103.71,0.19,100.00,1.27,1.00,1.60,0.74,1.01,0.99,0.99,0.97,0.98,0.00,0.00
,01/12/22,11:39:42,653,656.50,811.07,1.24,787.40,668.38,1032.82,2318.01,2311.30,0.00,794.04,811.07,656.50,685.81,579.50,579.50,819.54,538.64,6150.00,5431.17,180.41,729.70,418200.00,0.00,418200.00,427700.00,230400000.00,0.00,68.00,77.00,15.52,31.09,0.18,100.00,1.24,1.00,1.47,0.80,1.01,0.99,0.99,0.98,0.98,0.00,0.00
,01/12/22,11:39:42,668,661.64,889.44,1.34,833.45,667.07,1067.53,2462.57,2448.59,0.00,865.79,889.44,661.64,695.67,615.64,615.64,870.65,546.38,6245.95,5374.42,187.69,767.13,462200.00,0.00,462200.00,473050.00,230400000.00,0.00,74.00,86.00,163.46,173.37,0.20,100.00,1.34,1.00,1.58,0.73,1.02,0.99,0.98,0.96,0.98,0.00,0.00
,01/12/22,11:39:43,676,647.36,722.80,1.12,715.18,658.36,972.07,2155.51,2144.99,0.00,732.46,722.80,647.36,654.21,538.88,538.88,762.09,513.82,5485.07,5176.06,170.49,684.04,367500.00,0.00,367500.00,376350.00,230400000.00,0.00,67.00,71.00,24.26,51.10,0.16,100.00,1.12,1.00,1.43,0.78,1.00,1.00,1.00,0.99,0.98,0.00,0.00
,01/12/22,11:39:43,690,624.98,840.16,1.34,713.17,688.01,990.94,2326.12,2307.88,0.00,812.16,840.16,624.98,661.89,581.53,581.53,822.41,519.85,5976.81,5891.43,177.29,724.63,412400.00,0.00,412400.00,422200.00,230400000.00,0.00,69.00,70.00,135.50,142.00,0.18,100.00,1.34,1.00,1.56,0.85,1.02,0.99,0.98,0.96,0.98,0.00,0.00
,01/12/22,11:39:44,701,610.26,719.80,1.18,690.00,630.00,934.34,2096.33,2082.69,0.00,694.62,719.80,610.26,647.51,524.08,524.08,741.17,508.55,5476.19,5000.00,164.57,662.77,345000.00,0.00,345000.00,353250.00,230400000.00,0.00,63.00,69.00,3.50,173.39,0.15,100.00,1.18,1.00,1.37,0.79,1.01,1.00,0.99,0.99,0.98,0.00,0.00
,01/12/22,11:39:44,708,630.64,911.15,1.44,764.52,702.29,1038.13,2461.61,2449.72,0.00,851.65,911.15,630.64,695.12,615.40,615.40,870.31,545.94,5641.25,5437.35,183.34,758.03,451300.00,0.00,451300.00,464950.00,230400000.00,0.00,80.00,83.00,5.80,164.33,0.20,100.00,1.44,1.00,1.56,0.68,1.03,0.98,0.97,0.94,0.97,0.00,0.00
,01/12/22,11:39:44,716,599.69,810.62,1.35,681.91,658.60,948.03,2239.96,2230.58,0.00,789.24,810.62,599.69,632.63,559.99,559.99,791.94,496.87,5454.29,5159.46,170.45,697.23,381800.00,0.00,381800.00,392150.00,230400000.00,0.00,70.00,74.00,13.10,22.34,0.17,100.00,1.35,1.00,1.59,0.74,1.02,0.99,0.98,0.96,0.97,0.00,0.00
,01/12/22,11:39:45,718,676.37,899.44,1.33,809.33,692.83,1065.38,2499.96,2483.88,0.00,865.56,899.44,676.37,720.71,624.99,624.99,883.87,566.05,6205.19,5972.50,191.12,779.97,477800.00,0.00,477800.00,489950.00,230400000.00,0.00,77.00,80.00,25.11,49.69,0.21,100.00,1.33,1.00,1.53,0.78,1.02,0.98,0.98,0.96,0.98,0.00,0.00
,01/12/22,11:39:45,723,635.64,853.71,1.34,756.85,680.53,1017.81,2364.42,2335.48,0.00,841.72,853.71,635.64,660.96,591.10,591.10,835.95,519.11,5759.46,5134.94,180.26,736.65,426200.00,0.00,426200.00,436950.00,230400000.00,0.00,74.00,83.00,174.41,9.57,0.18,100.00,1.34,1.00,1.62,0.69,1.02,0.99,0.98,0.96,0.98,0.00,0.00
,01/12/22,11:39:45,726,650.00,849.35,1.31,751.95,704.74,1030.58,2375.90,2355.44,0.00,820.06,849.35,650.00,690.29,593.97,593.97,840.01,542.15,5353.09,5781.33,182.50,743.02,433600.00,0.00,433600.00,444600.00,230400000.00,0.00,81.00,75.00,70.16,74.44,0.19,100.00,1.31,1.00,1.51,0.71,1.02,0.99,0.98,0.97,0.98,0.00,0.00
,01/12/22,11:39:45,728,651.08,916.00,1.41,803.78,702.08,1067.23,2496.48,2468.37,0.00,883.63,916.00,651.08,694.45,624.12,624.12,882.64,545.42,5322.73,5929.11,187.62,772.26,468400.00,0.00,468400.00,481950.00,230400000.00,0.00,88.00,79.00,77.20,95.19,0.20,100.00,1.41,1.00,1.62,0.67,1.03,0.99,0.97,0.94,0.97,0.00,0.00
,01/12/22,11:39:45,729,652.87,816.36,1.25,747.02,684.14,1012.96,2322.11,2311.70,0.00,790.76,816.36,652.87,689.06,580.53,580.53,820.99,541.19,5581.33,6066.67,180.27,730.05,418600.00,0.00,418600.00,427950.00,230400000.00,0.00,75.00,69.00,84.47,57.92,0.18,100.00,1.25,1.00,1.46,0.81,1.01,1.00,0.99,0.98,0.98,0.00,0.00
,01/12/22,11:39:45,733,679.43,875.34,1.29,865.93,681.63,1102.02,2461.54,2422.37,0.00,866.83,875.34,679.43,702.84,615.38,615.38,870.28,552.01,5766.67,6066.23,189.76,771.19,467100.00,0.00,467100.00,478500.00,230400000.00,0.00,81.00,77.00,126.53,129.38,0.20,100.00,1.29,1.00,1.57,0.75,1.02,0.98,0.98,0.97,0.98,0.00,0.00
,01/12/22,11:39:45,736,630.60,762.41,1.21,726.98,661.73,983.04,2197.91,2168.74,0.00,749.67,762.41,630.60,655.25,549.48,549.48,777.08,514.63,5102.70,5721.21,171.80,693.38,377600.00,0.00,377600.00,385800.00,230400000.00,0.00,74.00,66.00,86.26,99.21,0.16,100.00,1.21,1.00,1.46,0.77,1.01,1.00,0.99,0.98,0.98,0.00,0.00
,01/12/22,11:39:45,738,695.13,942.39,1.36,907.72,688.77,1139.46,2601.36,2593.01,0.00,914.17,942.39,695.13,735.32,650.34,650.34,919.72,577.52,6952.70,5780.90,197.78,809.37,514500.00,0.00,514500.00,527950.00,230400000.00,0.00,74.00,89.00,16.70,19.82,0.22,100.00,1.36,1.00,1.58,0.78,1.02,0.98,0.98,0.96,0.97,0.00,0.00
,01/12/22,11:39:46,745,705.70,956.78,1.36,911.92,712.15,1157.05,2641.03,2613.53,0.00,915.48,956.78,705.70,755.62,660.26,660.26,933.75,593.46,6313.10,5958.43,200.79,821.70,530300.00,0.00,530300.00,543300.00,230400000.00,0.00,84.00,89.00,144.79,158.20,0.23,100.00,1.36,1.00,1.54,0.71,1.02,0.97,0.98,0.96,0.98,0.00,0.00
,01/12/22,11:39:46,746,684.38,962.96,1.41,878.90,718.28,1135.07,2624.38,2610.66,0.00,931.07,962.96,684.38,728.74,656.09,656.09,927.86,572.35,6161.90,5949.43,197.23,811.81,517600.00,0.00,517600.00,532900.00,230400000.00,0.00,84.00,87.00,46.11,24.09,0.22,100.00,1.41,1.00,1.63,0.72,1.03,0.97,0.97,0.94,0.97,0.00,0.00
,01/12/22,11:39:46,751,670.24,880.49,1.31,781.77,700.00,1049.36,2458.18,2443.93,0.00,844.04,880.49,670.24,716.92,614.55,614.55,869.10,563.07,6019.48,5867.09,188.55,768.21,463500.00,0.00,463500.00,475250.00,230400000.00,0.00,77.00,79.00,149.90,126.33,0.20,100.00,1.31,1.00,1.50,0.76,1.02,0.99,0.98,0.96,0.98,0.00,0.00
,01/12/22,11:39:46,755,604.52,755.91,1.25,707.11,650.54,960.83,2150.16,2134.16,0.00,750.00,755.91,604.52,624.31,537.54,537.54,760.20,490.33,5437.88,4916.44,166.92,675.99,358900.00,0.00,358900.00,367750.00,230400000.00,0.00,66.00,73.00,20.73,16.26,0.16,100.00,1.25,1.00,1.53,0.74,1.01,0.99,0.99,0.98,0.98,0.00,0.00
,01/12/22,11:39:47,762,675.42,878.46,1.30,775.31,727.31,1063.06,2461.58,2431.20,0.00,842.02,878.46,675.42,719.24,615.40,615.40,870.30,564.89,5974.36,6383.56,189.31,770.28,466000.00,0.00,466000.00,475650.00,230400000.00,0.00,78.00,73.00,114.58,127.28,0.20,100.00,1.30,1.00,1.49,0.82,1.02,0.99,0.98,0.97,0.98,0.00,0.00
,01/12/22,11:39:47,765,704.99,998.02,1.42,974.16,696.26,1197.39,2714.39,2673.56,0.00,976.52,998.02,704.99,736.93,678.60,678.60,959.68,578.79,6140.00,6425.58,203.58,838.80,552600.00,0.00,552600.00,565200.00,230400000.00,0.00,90.00,86.00,54.23,55.01,0.24,100.00,1.42,1.00,1.69,0.71,1.03,0.95,0.97,0.94,0.98,0.00,0.00
,01/12/22,11:39:47,767,617.06,884.99,1.43,770.53,661.15,1015.31,2396.66,2383.25,0.00,869.77,884.99,617.06,645.06,599.17,599.17,847.35,506.63,5956.94,5167.47,178.96,738.98,428900.00,0.00,428900.00,440650.00,230400000.00,0.00,72.00,83.00,178.26,160.52,0.19,100.00,1.43,1.00,1.72,0.72,1.03,0.98,0.97,0.94,0.97,0.00,0.00
,01/12/22,11:39:47,769,677.11,852.01,1.26,836.93,691.18,1085.44,2417.60,2403.37,0.00,837.62,852.01,677.11,704.10,604.40,604.40,854.75,553.00,6122.97,5593.83,187.42,759.54,453100.00,0.00,453100.00,463200.00,230400000.00,0.00,74.00,81.00,149.40,146.69,0.20,100.00,1.26,1.00,1.51,0.76,1.01,0.98,0.99,0.97,0.98,0.00,0.00
