CLASS,DATE,TIME,FRAME,MINOR DIAMETER,MAJOR DIAMETER,ASPECT RATIO,BOUNDING RECT WIDTH,BOUNDING RECT HEIGHT,BOUNDING RECT DIAGONAL,PERIMETER,CONVEX HULL PERIMETER,HOLES' PERIMETER,MAX FERET DIAMETER,EQUIVALENT ELLIPSE MAJOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS (FERET),EQUIVALENT RECT LONG SIDE,EQUIVALENT RECT SHORT SIDE,EQUIVALENT RECT DIAGONAL,EQUIVALENT RECT SHORT SIDE (FERET),AVERAGE HORIZ. SEGMENT LENGTH,AVERAGE VERT. SEGMENT LENGTH,HYDRAULIC RADIUS,WADDEL DISK DIAMETER,AREA,HOLES' AREA,PARTICLE & HOLES' AREA,CONVEX HULL AREA,IMAGE AREA,NUMBER OF HOLES,NUMBER OF HORIZ. SEGMENTS,NUMBER OF VERT. SEGMENTS,ORIENTATION,MAX FERET DIAMETER ORIENTATION,% AREA/IMAGE AREA,% AREA/(PARTICLE & HOLES' AREA),RATIO OF EQUIVALENT ELLIPSE AXES,RATIO OF EQUIVALENT RECT SIDES,ELONGATION FACTOR,COMPACTNESS FACTOR,HEYWOOD CIRCULARITY FACTOR,TYPE FACTOR,CIRCULARITY,SPHERICITY,CONVEXITY,,
,01/12/22,10:35:36,623,614.43,700.06,1.14,671.28,650.52,934.77,2069.17,2060.04,0.00,675.94,700.06,614.43,648.09,517.29,517.29,731.56,509.01,3593.93,3482.78,163.27,655.85,337829.73,0.00,337829.73,344055.68,110343025.46,0.00,94.00,97.00,0.08,169.38,0.31,100.00,1.14,1.00,1.33,0.77,1.00,1.00,1.00,0.99,0.98,0.00,0.00
,01/12/22,10:35:36,627,670.28,750.17,1.12,726.64,698.96,1008.24,2234.76,2226.04,0.00,727.83,750.17,670.28,703.13,558.69,558.69,790.11,552.24,3725.63,3910.07,176.72,709.10,394916.92,0.00,394916.92,401933.09,110343025.46,0.00,106.00,101.00,91.83,86.73,0.36,100.00,1.12,1.00,1.32,0.78,1.00,1.00,1.00,0.99,0.98,0.00,0.00
,01/12/22,10:35:38,658,593.41,669.88,1.13,645.94,621.47,896.36,1988.01,1980.78,0.00,656.89,669.88,593.41,616.66,497.00,497.00,702.87,484.32,3468.97,3321.36,157.05,630.49,312207.54,0.00,312207.54,318146.15,110343025.46,0.00,90.00,94.00,25.11,20.34,0.28,100.00,1.13,1.00,1.36,0.77,1.00,1.00,1.00,0.99,0.98,0.00,0.00
,01/12/22,10:35:38,658,615.95,720.01,1.17,685.08,660.62,951.71,2104.88,2090.15,0.00,691.00,720.01,615.95,653.59,526.22,526.22,744.19,513.33,3590.91,3590.91,165.48,665.95,348318.07,0.00,348318.07,354711.64,110343025.46,0.00,97.00,97.00,30.78,29.39,0.32,100.00,1.17,1.00,1.35,0.78,1.01,1.00,0.99,0.99,0.98,0.00,0.00
,01/12/22,10:35:38,665,555.54,657.71,1.18,651.14,561.87,860.05,1912.50,1907.06,0.00,651.58,657.71,555.54,572.13,478.13,478.13,676.17,449.35,3416.29,3085.68,150.05,604.47,286968.49,0.00,286968.49,292787.36,110343025.46,0.00,84.00,93.00,13.95,22.48,0.26,100.00,1.18,1.00,1.45,0.78,1.01,1.00,0.99,0.99,0.98,0.00,0.00
,01/12/22,10:35:38,671,556.20,600.14,1.08,589.36,581.89,828.22,1817.67,1814.41,0.00,590.14,600.14,556.20,577.65,454.42,454.42,642.64,453.69,3120.96,3120.96,144.23,577.75,262160.47,0.00,262160.47,267739.88,110343025.46,0.00,84.00,84.00,123.82,129.29,0.24,100.00,1.08,1.00,1.30,0.78,1.00,1.00,1.00,1.00,0.98,0.00,0.00
,01/12/22,10:35:38,673,560.87,632.31,1.13,606.58,597.10,851.16,1877.61,1866.79,0.00,607.74,632.31,560.87,594.49,469.40,469.40,663.83,466.91,3238.83,3238.83,148.35,595.52,278539.51,0.00,278539.51,283759.73,110343025.46,0.00,86.00,86.00,135.83,149.93,0.25,100.00,1.13,1.00,1.30,0.79,1.00,1.00,1.00,0.99,0.98,0.00,0.00
,01/12/22,10:35:38,674,557.19,702.70,1.26,689.98,582.32,902.87,1992.19,1978.64,0.00,693.87,702.70,557.19,574.78,498.05,498.05,704.34,451.43,3455.21,3306.60,154.36,625.73,307514.13,0.00,307514.13,313237.22,110343025.46,0.00,89.00,93.00,36.38,38.93,0.28,100.00,1.26,1.00,1.54,0.78,1.01,0.99,0.99,0.97,0.98,0.00,0.00
,01/12/22,10:35:38,674,491.26,560.93,1.14,532.87,519.03,743.87,1656.39,1643.03,0.00,543.59,560.93,491.26,517.19,414.10,414.10,585.62,406.20,2885.65,2810.70,130.66,524.94,216423.67,0.00,216423.67,220805.78,110343025.46,0.00,75.00,77.00,20.95,31.46,0.20,100.00,1.14,1.00,1.34,0.78,1.00,1.00,1.00,0.99,0.98,0.00,0.00
,01/12/22,10:35:38,677,545.96,598.99,1.10,588.23,553.63,807.79,1800.41,1787.19,0.00,596.16,598.99,545.96,558.99,450.10,450.10,636.54,439.03,3170.92,3021.70,142.66,571.86,256844.46,0.00,256844.46,261729.44,110343025.46,0.00,81.00,85.00,1.94,9.35,0.23,100.00,1.10,1.00,1.36,0.79,1.00,1.00,1.00,1.00,0.98,0.00,0.00
